,category,first flight,introduced,introduction,ns,number built,pageid,retired,status,title,unit cost,views,built_group,built_number,year
272,Category:1990s United States civil utility aircraft|Category:1990s United States civil utility aircraft|Category:1990s Czech and Czechoslovakian civil utility aircraft|Category:1990s Czech and Czechoslovakian civil utility aircraft|Category:1990s United States civil utility aircraft|Category:1990s Czech and Czechoslovakian civil utility aircraft|Category:1990s United States civil utility aircraft|Category:1990s Czech and Czechoslovakian civil utility aircraft|Category:Light-sport aircraft|Category:1990s United States civil utility aircraft|Category:1990s Czech and Czechoslovakian civil utility aircraft|Category:1990s United States civil utility aircraft|Category:1990s Czech and Czechoslovakian civil utility aircraft,1995,Error,,0,300+,15801770,,,Fantasy Air Allegro,EUR 49900 Base price,18.53972602739726,5,300.0,1995.0
274,Category:1990s United States civil utility aircraft|Category:1990s United States civil utility aircraft|Category:1990s United States helicopters|Category:1990s United States civil utility aircraft|Category:1990s United States helicopters|Category:1990s United States civil utility aircraft|Category:1990s United States civil utility aircraft|Category:1990s United States civil utility aircraft,"September, 1997",,Error,0,85+,10810517,,,Eagle Helicycle,"US$38,500",34.12054794520548,4,85.0,1997.0
279,Category:1990s United States civil utility aircraft|Category:1990s United States civil utility aircraft|Category:1990s United States civil utility aircraft|Category:1990s United States civil utility aircraft|Category:1990s United States civil utility aircraft|Category:1990s United States civil utility aircraft,,Error,,0,115 (2011),1874560,,,Comp Air 7,"[[USD]]$98,000â$375,000 (7SLX)",10.572602739726028,4,115.0,1990.0
281,Category:1990s United States civil utility aircraft|Category:1990s United States civil utility aircraft|Category:1990s United States civil utility aircraft|Category:1990s United States civil utility aircraft|Category:1990s United States civil utility aircraft|Category:1990s United States civil utility aircraft,"April 3, 1995",Error,Error,0,31 (2011),1313581,Error,Error,Comp Air 4,Error,3.786301369863014,3,31.0,1995.0
282,Category:1990s United States civil utility aircraft|Category:1990s United States civil utility aircraft|Category:1990s United States civil utility aircraft|Category:1990s United States civil utility aircraft|Category:1990s United States civil utility aircraft|Category:1990s United States civil utility aircraft,21 March 1995,Error,,0,"1,332 (through 2016)",1035972,,,Cirrus SR20,[[United States dollar,340.0931506849315,5,1332.0,1995.0
289,Category:1990s United States civil utility aircraft|Category:1990s United States civil utility aircraft|Category:1990s United States helicopters|Category:1990s United States civil utility aircraft|Category:1990s United States helicopters|Category:1990s United States civil utility aircraft|Category:1990s United States civil utility aircraft|Category:1990s United States civil utility aircraft,"October 25, 1994",1995,Error,0,136,6082484,,,Bell 430,,128.6027397260274,4,136.0,1994.0
290,Category:1990s United States civil utility aircraft|Category:1990s United States civil utility aircraft|Category:1990s United States helicopters|Category:1990s Canadian civil utility aircraft|Category:1990s Canadian civil utility aircraft|Category:1990s Canadian helicopters|Category:1990s United States civil utility aircraft|Category:1990s United States helicopters|Category:1990s United States civil utility aircraft|Category:1990s Canadian civil utility aircraft|Category:1990s Canadian civil utility aircraft|Category:1990s Canadian helicopters|Category:1990s United States civil utility aircraft|Category:1990s Canadian civil utility aircraft|Category:1990s United States civil utility aircraft|Category:1990s Canadian civil utility aircraft,29 June 1995,1996,Error,0,"1,400+ (Dec 2017)",1505580,,In service,Bell 407,US$3.1M million,377.0027397260274,5,1400.0,1995.0
301,Category:1990s United States civil utility aircraft|Category:1990s United States civil utility aircraft|Category:1990s United States civil utility aircraft|Category:1990s United States civil utility aircraft|Category:1990s United States civil utility aircraft|Category:1990s United States civil utility aircraft,July 1994,Error,Error,0,7 (2007),1026942,Error,Error,ADI Stallion,Error,8.646575342465754,3,7.0,1994.0
302,Category:1980s United States civil utility aircraft|Category:1980s United States sport aircraft|Category:1980s United States civil utility aircraft|Category:1980s United States sport aircraft|Category:1980s United States civil utility aircraft|Category:1980s United States sport aircraft|Category:1980s United States sport aircraft|Category:1980s United States civil utility aircraft|Category:1980s United States sport aircraft|Category:1980s United States sport aircraft|Category:1980s United States civil utility aircraft|Category:1980s United States civil utility aircraft,,1989,,0,3,13331582,,2 still flying,Younkin-Dake Mullicoupe,,5.232876712328767,2,3.0,1989.0
306,Category:1980s United States civil utility aircraft|Category:1980s United States civil utility aircraft|Category:1980s United States civil utility aircraft|Category:1980s United States civil utility aircraft|Category:1980s United States civil utility aircraft|Category:1980s United States civil utility aircraft,1985,Error,,0,2658 (May 2019),5221974,,No longer sold,Van's Aircraft RV-6,"[[USD]]$41,000â$97,000",78.2027397260274,6,2658.0,1985.0
314,Category:1980s United States civil utility aircraft|Category:1980s United States civil utility aircraft|Category:1980s United States civil utility aircraft|Category:1980s United States civil utility aircraft|Category:Light-sport aircraft|Category:1980s United States civil utility aircraft|Category:1980s United States civil utility aircraft,1988,Error,Error,0,2100 (2011),23553759,Error,In production (2015),Rans S-6 Coyote II,[[United States dollar,38.54246575342466,6,2100.0,1988.0
329,Category:1980s United States civil utility aircraft|Category:1980s United States civil utility aircraft|Category:1980s United States helicopters|Category:1980s United States civil utility aircraft|Category:1980s United States helicopters|Category:1980s United States civil utility aircraft|Category:1980s United States civil utility aircraft|Category:1980s United States civil utility aircraft,7 October 1989,1993,Error,0,142 (as of July 2011),13068152,Error,Error,Enstrom 480,"$800,000",60.21917808219178,4,142.0,1989.0
330,Category:1980s United States civil utility aircraft|Category:1980s United States civil utility aircraft|Category:1980s United States civil utility aircraft|Category:1980s United States civil utility aircraft|Category:Light-sport aircraft|Category:1980s United States civil utility aircraft|Category:1980s United States civil utility aircraft,November 1984,Error,1984,0,4500+ kits delivered,30872219,,,Denney Kitfox,[[United States dollar,117.10684931506849,6,4500.0,1984.0
331,Category:1980s United States civil utility aircraft|Category:1980s United States civil utility aircraft|Category:1980s United States civil utility aircraft|Category:1980s United States civil utility aircraft|Category:1980s United States civil utility aircraft|Category:1980s United States civil utility aircraft,11 February 1988,Error,1987,0,about 13,3310262,,,Cirrus VK-30,"$64,000 USD (Airframe kit without engine in 1995)",76.94520547945206,3,13.0,1987.0
333,Category:1980s United States civil utility aircraft|Category:1980s United States civil utility aircraft|Category:1980s United States civil utility aircraft|Category:1980s United States civil utility aircraft|Category:1980s United States civil utility aircraft|Category:1980s United States civil utility aircraft,"December 9, 1982",1984,Error,0,"2,600 (Nov 2017)",364573,,In production,Cessna 208 Caravan,208 Caravan: [[United States dollar,912.2219178082191,6,2600.0,1982.0
334,Category:1980s United States civil utility aircraft|Category:1980s United States civil utility aircraft|Category:1980s United States helicopters|Category:1980s Canadian helicopters|Category:1980s United States civil utility aircraft|Category:1980s United States helicopters|Category:1980s United States civil utility aircraft|Category:1980s Canadian helicopters|Category:1980s United States civil utility aircraft|Category:1980s United States civil utility aircraft,August 1979,1981,Error,0,Over 869,3101264,,In service,Bell 412,,592.2493150684932,5,869.0,1979.0
335,Category:1980s United States civil utility aircraft|Category:1980s United States civil utility aircraft|Category:1980s United States helicopters|Category:1980s United States civil utility aircraft|Category:1980s United States helicopters|Category:1980s United States civil utility aircraft|Category:1980s United States civil utility aircraft|Category:1980s United States civil utility aircraft,4 April 1984,,Error,0,4,11721186,,Canceled,Bell 400 TwinRanger,,19.882191780821916,2,4.0,1984.0
336,Category:1980s United States civil utility aircraft|Category:1980s United States civil utility aircraft|Category:1980s United States civil utility aircraft|Category:1980s United States civil utility aircraft|Category:1980s United States civil utility aircraft|Category:1980s United States civil utility aircraft,"February 15, 1986",,Error,0,53,867811,,In limited use,Beechcraft Starship,[[United States dollar,237.67397260273972,4,53.0,1986.0
337,Category:1980s United States civil utility aircraft|Category:1980s United States civil utility aircraft|Category:1980s United States civil utility aircraft|Category:1980s United States civil utility aircraft|Category:1980s United States civil utility aircraft|Category:1980s United States civil utility aircraft,"June 14, 1982",1982,Error,0,2,14762380,1984,,Beechcraft Lightning,,15.243835616438357,2,2.0,1982.0
338,Category:1980s United States civil utility aircraft|Category:1980s United States civil utility aircraft|Category:1980s United States civil utility aircraft|Category:1980s United States civil utility aircraft|Category:1980s United States civil utility aircraft|Category:1980s United States civil utility aircraft,1986,1987,Error,0,650+,3879469,,Active service,Aviat Husky,,88.75616438356164,5,650.0,1986.0
340,Category:1980s United States civil utility aircraft|Category:1980s United States civil utility aircraft|Category:1980s United States civil utility aircraft|Category:1980s United States civil utility aircraft|Category:1980s United States civil utility aircraft|Category:1980s United States civil utility aircraft,1989-01-11,1994,Error,0,5,840262,,,AASI Jetcruzer,US$1.6 million,35.035616438356165,2,5.0,1989.0
344,Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft,August 1979,Error,1980,0,1435 (May 2019),1244388,,,Van's Aircraft RV-4,"[[USD]]$37,000-$73,000",55.87123287671233,5,1435.0,1979.0
345,Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft,,Error,1971,0,302 (April 2019),5250303,,RV-3: Production completed,Van's Aircraft RV-3,"[[USD]]$35,000â$63,000",33.227397260273975,5,302.0,1971.0
347,Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft,1973,1973,Error,0,120,39074409,Error,Error,Taylorcraft F-19 Sportsman,Error,12.424657534246576,4,120.0,1973.0
354,Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States helicopters|Category:1970s United States civil utility aircraft|Category:1970s United States helicopters|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft,"March 13, 1977",,Error,0,"1,090 (all variants) as of June 2015{{citation needed",892286,,In service,Sikorsky S-76,US$13 million (2014){{Citation needed,383.7068493150685,5,1090.0,1977.0
357,Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft,,Error,,0,350+,1034002,,kit production completed,Rutan Quickie,,64.17534246575343,5,350.0,1970.0
360,Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States helicopters|Category:1970s United States civil utility aircraft|Category:1970s United States helicopters|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft,1975,1979,Error,0,"over 4,600 (2015)",1121696,,In production (42 in 2014),Robinson R22,"$288,000 (as of August 2016)",267.8712328767123,6,4600.0,1975.0
362,Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft,July 1980,Error,,0,2000+,39392906,,kit production completed,QAC Quickie Q2,,50.64383561643836,5,2000.0,1980.0
365,Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft,29 August 1969,,Error,0,823,3097714,,,Piper PA-31T Cheyenne,,104.65205479452055,5,823.0,1969.0
367,Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft,[[1973 in aviation,,Error,0,1,17997377,,,Larkin Skylark,$7000 in 1974,3.9013698630136986,1,1.0,1973.0
368,Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:Abandoned civil aircraft projects of the United States,"January 11, 1978",,Error,0,1,15011469,,,Gulfstream American Hustler,Error,15.282191780821918,1,1.0,1978.0
369,Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft,20 December 1974,February 1978,Error,0,115,1887753,,,Gulfstream American GA-7 Cougar,,50.64657534246575,4,115.0,1974.0
370,Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft,"August 21, 1970{{Citation needed",December 1971{{Citation needed,Error,0,"3,282",1886360,,,Grumman American AA-5,,200.84109589041097,6,3282.0,1970.0
372,Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft,21 April 1975,,Error,0,1,8921403,,Retired,Dominion Skytrader,Error,12.775342465753425,1,1.0,1975.0
373,Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft,"February 14, 1978",1982,Error,0,297,1530173,,,Cessna T303 Crusader,"$215,000 (1982)",41.30958904109589,5,297.0,1978.0
374,Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft,10 January 1977,1977 Paris Air Show,Error,0,362,2071252,,Production completed,Cessna 441 Conquest II,Error,119.34246575342466,5,362.0,1977.0
375,Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft,"September 12, 1978",,Error,0,236,3064378,,,Cessna 425,Error,105.87671232876713,5,236.0,1978.0
376,Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft,26 February [[1975 in aviation,[[1976 in aviation,Error,0,396,3266880,,in use,Cessna 404 Titan,,120.30958904109589,5,396.0,1975.0
377,Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft,1970,1972,Error,0,"1,351",4433797,,,Cessna 340,"$201,000 (Cessna 340, 1972)",159.92876712328768,5,1351.0,1970.0
378,Category:1970s United States civil utility aircraft|Category:1970s United States civil trainer aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil trainer aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil trainer aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil trainer aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil trainer aircraft|Category:1970s United States civil trainer aircraft,,1977,Error,0,"7,584",306162,,,Cessna 152,,362.03287671232874,6,7584.0,1977.0
382,Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft,"July 19, 1973",,Error,0,5,11856754,,,Bellanca Aries,Error,7.438356164383562,2,5.0,1973.0
384,Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States helicopters|Category:1970s United States civil utility aircraft|Category:1970s United States helicopters|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft,February 1977,1982,Error,0,96,11954042,,,Bell 214ST,,81.78630136986301,4,96.0,1977.0
386,Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft,"October 27, 1972",1972 (Military),Error,0,"3,781 at end of 2015",9023483,,Active service,Beechcraft Super King Air,King Air 250: US$6.295M,1188.2931506849316,6,3781.0,1972.0
387,Category:1970s United States civil utility aircraft|Category:1970s United States civil trainer aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil trainer aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil trainer aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil trainer aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil trainer aircraft|Category:1970s United States civil trainer aircraft,"September 12, 1978",1979,Error,0,312,1614414,,,Beechcraft Skipper,,48.14246575342466,5,312.0,1978.0
388,Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:Abandoned civil aircraft projects of the United States,,,Error,0,1,11739485,,Abandoned project,Bede BD-7,Error,4.947945205479452,1,1.0,1970.0
389,Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft,[[1974 in aviation,,Error,0,2,11739228,,,Bede BD-6,Error,6.575342465753424,2,2.0,1974.0
390,Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:Abandoned civil aircraft projects of the United States,,1973,Error,0,2,30874295,,,AVE Mizar,,74.59726027397261,2,2.0,1973.0
391,Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft,[[1975 in aviation,,Error,0,32,11007810,,,Arctic Aircraft Arctic Tern,Error,9.117808219178082,3,32.0,1975.0
392,Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft,,1974,Error,0,"more than 500, as of [[2008 in aviation",4538328,,,American Champion Scout,,36.01917808219178,5,500.0,1974.0
393,Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft,[[1970 in aviation,,Error,0,2,1886367,,,American Aviation AA-2 Patriot,Error,5.920547945205479,2,2.0,1970.0
395,Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft|Category:1970s United States civil utility aircraft,,,Error,0,10 (as of 1980),10213940,,,Aerosport Quail,Error,6.002739726027397,3,10.0,1970.0
398,Category:1960s United States civil utility aircraft|Category:1960s United States civil utility aircraft|Category:1960s United States civil utility aircraft|Category:1960s United States civil utility aircraft|Category:1960s United States civil utility aircraft|Category:1960s United States civil utility aircraft,1 May 1962,,Error,0,12,16545386,,,Wing Derringer,Error,10.531506849315068,3,12.0,1962.0
402,Category:1960s United States civil utility aircraft|Category:1960s United States civil utility aircraft|Category:1960s United States civil utility aircraft|Category:1960s United States civil utility aircraft|Category:1960s United States civil utility aircraft|Category:1960s United States civil utility aircraft,June 1968,,Error,0,38,15634752,,,Thurston Teal,Error,14.216438356164383,3,38.0,1968.0
403,Category:1960s United States civil utility aircraft|Category:1960s United States civil utility aircraft|Category:1960s United States civil utility aircraft|Category:1960s United States civil utility aircraft|Category:1960s United States civil utility aircraft|Category:1960s United States civil utility aircraft,1963,,Error,0,400,1050765,Error,Error,Thorp T-18,approximately $3670 to build in 1971,32.413698630136984,5,400.0,1963.0
404,Category:1960s United States civil utility aircraft|Category:1960s United States civil utility aircraft|Category:1960s United States civil utility aircraft|Category:1960s United States civil utility aircraft|Category:1960s United States civil utility aircraft|Category:1960s United States civil utility aircraft,1969,,Error,0,70,1196949,,Plans available (2015),Taylor Coot,$3500 in 1970,10.687671232876712,4,70.0,1969.0
407,Category:1960s United States civil utility aircraft|Category:1960s United States civil utility aircraft|Category:1960s United States helicopters|Category:1960s United States civil utility aircraft|Category:1960s United States helicopters|Category:1960s United States civil utility aircraft|Category:1960s United States civil utility aircraft|Category:1960s United States civil utility aircraft,2 October 1956,1964,Error,0,2800 (Hughes),2843195,,In production,Schweizer 300,"US$250,000 (300C in 2001)",148.82191780821918,6,2800.0,1956.0
411,Category:1960s United States civil utility aircraft|Category:1960s United States civil utility aircraft|Category:1960s United States civil utility aircraft|Category:1960s United States civil utility aircraft|Category:1960s United States civil utility aircraft|Category:1960s United States civil utility aircraft,25 April 1967,1971,Error,0,5000+,1236611,,In production,Piper PA-34 Seneca,[[United States dollar,293.2520547945206,6,5000.0,1967.0
